keel-pin: mask=0,8,16,24,32,40,48,56 width=8 doms=0,8,16,24,32,40,48,56 nodedoms=12
keel-bench-cpu: AMD EPYC 9R14
keel-bench-cores: 8 logical
keel-bench-governor: unknown (no cpufreq)
keel-bench-clock-mhz: 2600-3742 (snapshot, not sustained)
keel-bench-platform: linux/amd64
keel-bench-toolchain: go1.27.0-X:simd
keel-bench-backend: avx512 (available: avx512 avx2 scalar)
keel-bench-peak-method: measured on this host by BenchmarkPeak (register-only FMA saturation); the formula below is a cross-check, not the denominator (issue #11)
keel-bench-peak-formula: avx512: unavailable (no cpuinfo_max_freq)
keel-bench-peak-formula: avx2: unavailable (no cpuinfo_max_freq)
keel-bench-peak-formula: scalar: unavailable (no cpuinfo_max_freq)
keel-bench-gomaxprocs: 8
keel-bench-kern: 4x32/avx512 (available: 4x32/avx512 2x32/avx512 4x32/scalar 2x32/scalar)
keel-bench-kern-class: fma insns-per-fma=6.250 (avx512 with vbmi2+vpopcntdq (Ice Lake / Zen 4 or later))
keel-bench-kern-audit: 4x32/avx512=6.250 2x32/avx512=4.625
keel-bench-openblas: not available (no cgo reference harness built; rebuild with -tags openblas on a host that has OpenBLAS)
goos: linux
goarch: amd64
pkg: github.com/scttfrdmn/keel/bench
cpu: AMD EPYC 9R14
BenchmarkKernel/2x32/avx512/kc=128-8         	 8187900	       146.2 ns/op	       112.1 GFLOP/s	     16384 flops/call
BenchmarkKernel/2x32/avx512/kc=128-8         	 8237892	       146.3 ns/op	       112.0 GFLOP/s	     16384 flops/call
BenchmarkKernel/2x32/avx512/kc=128-8         	 8192553	       146.1 ns/op	       112.2 GFLOP/s	     16384 flops/call
BenchmarkKernel/2x32/avx512/kc=128-8         	 8187956	       146.2 ns/op	       112.1 GFLOP/s	     16384 flops/call
BenchmarkKernel/2x32/avx512/kc=128-8         	 8213259	       146.3 ns/op	       112.0 GFLOP/s	     16384 flops/call
BenchmarkKernel/2x32/avx512/kc=128-8         	 8197162	       146.1 ns/op	       112.2 GFLOP/s	     16384 flops/call
BenchmarkKernel/2x32/avx512/kc=128-8         	 8201629	       146.2 ns/op	       112.1 GFLOP/s	     16384 flops/call
BenchmarkKernel/2x32/avx512/kc=128-8         	 8201778	       146.1 ns/op	       112.2 GFLOP/s	     16384 flops/call
BenchmarkKernel/2x32/avx512/kc=128-8         	 8246377	       146.1 ns/op	       112.1 GFLOP/s	     16384 flops/call
BenchmarkKernel/2x32/avx512/kc=128-8         	 8200770	       146.0 ns/op	       112.2 GFLOP/s	     16384 flops/call
BenchmarkKernel/2x32/avx512/kc=128-8         	 8210487	       146.3 ns/op	       112.0 GFLOP/s	     16384 flops/call
BenchmarkKernel/2x32/avx512/kc=128-8         	 8182532	       146.1 ns/op	       112.2 GFLOP/s	     16384 flops/call
BenchmarkKernel/2x32/avx512/kc=128-8         	 8232430	       159.0 ns/op	       103.0 GFLOP/s	     16384 flops/call
BenchmarkKernel/2x32/avx512/kc=128-8         	 8185302	       146.1 ns/op	       112.2 GFLOP/s	     16384 flops/call
BenchmarkKernel/2x32/avx512/kc=128-8         	 8191590	       146.2 ns/op	       112.1 GFLOP/s	     16384 flops/call
BenchmarkKernel/2x32/avx512/kc=128-8         	 8199390	       146.0 ns/op	       112.2 GFLOP/s	     16384 flops/call
BenchmarkKernel/2x32/avx512/kc=128-8         	 7542751	       146.2 ns/op	       112.0 GFLOP/s	     16384 flops/call
BenchmarkKernel/2x32/avx512/kc=128-8         	 8234156	       146.1 ns/op	       112.2 GFLOP/s	     16384 flops/call
BenchmarkKernel/2x32/avx512/kc=128-8         	 8205030	       146.1 ns/op	       112.1 GFLOP/s	     16384 flops/call
BenchmarkKernel/2x32/avx512/kc=128-8         	 8193576	       146.2 ns/op	       112.1 GFLOP/s	     16384 flops/call
BenchmarkKernel/4x32/scalar/kc=128-8         	   81819	     16365 ns/op	         2.002 GFLOP/s	     32768 flops/call
BenchmarkKernel/4x32/scalar/kc=128-8         	   96393	     21682 ns/op	         1.511 GFLOP/s	     32768 flops/call
BenchmarkKernel/4x32/scalar/kc=128-8         	   70591	     21633 ns/op	         1.515 GFLOP/s	     32768 flops/call
BenchmarkKernel/4x32/scalar/kc=128-8         	   79753	     22863 ns/op	         1.433 GFLOP/s	     32768 flops/call
BenchmarkKernel/4x32/scalar/kc=128-8         	   90194	     18363 ns/op	         1.784 GFLOP/s	     32768 flops/call
