keel-bench-cpu: unknown (no model name in /proc/cpuinfo)
keel-bench-cores: 8 logical
keel-bench-governor: performance
keel-bench-clock-mhz: unknown (no cpu MHz field)
keel-bench-platform: linux/arm64
keel-bench-toolchain: go1.27.0-X:simd
keel-bench-backend: scalar (available: scalar)
keel-bench-peak-method: measured on this host by BenchmarkPeak (register-only FMA saturation); the formula below is a cross-check, not the denominator (issue #11)
keel-bench-peak-formula: scalar: 5.6 GFLOP/s (2.81 GHz cpuinfo_max_freq x 2 FP ports, unfused: 1 flop/op x 1 lanes)
keel-bench-gomaxprocs: 1
keel-bench-kern: 8x8/neon (available: 8x8/neon 4x16/neon 8x8/scalar 4x16/scalar)
keel-bench-kern-class: fma insns-per-fma=0.000 (no vector backend in this build (class unused))
keel-bench-kern-audit: 
keel-bench-openblas: not available (no cgo reference harness built; rebuild with -tags openblas on a host that has OpenBLAS)
goos: linux
goarch: arm64
pkg: github.com/scttfrdmn/keel/bench
BenchmarkKernel/8x8/neon/kc=128       	 1248438	       961.0 ns/op	        17.05 GFLOP/s	     16384 flops/call
BenchmarkKernel/8x8/neon/kc=128       	 1248578	       961.0 ns/op	        17.05 GFLOP/s	     16384 flops/call
BenchmarkKernel/8x8/neon/kc=128       	 1248763	       961.0 ns/op	        17.05 GFLOP/s	     16384 flops/call
BenchmarkKernel/8x8/neon/kc=128       	 1248854	       960.8 ns/op	        17.05 GFLOP/s	     16384 flops/call
BenchmarkKernel/8x8/neon/kc=128       	 1248891	       960.7 ns/op	        17.05 GFLOP/s	     16384 flops/call
BenchmarkKernel/8x8/neon/kc=128       	 1249354	       960.9 ns/op	        17.05 GFLOP/s	     16384 flops/call
BenchmarkKernel/8x8/neon/kc=128       	 1248874	       960.9 ns/op	        17.05 GFLOP/s	     16384 flops/call
BenchmarkKernel/8x8/neon/kc=128       	 1248562	       961.1 ns/op	        17.05 GFLOP/s	     16384 flops/call
BenchmarkKernel/8x8/neon/kc=128       	 1248789	       960.9 ns/op	        17.05 GFLOP/s	     16384 flops/call
BenchmarkKernel/8x8/neon/kc=128       	 1248668	       960.7 ns/op	        17.05 GFLOP/s	     16384 flops/call
BenchmarkKernel/8x8/neon/kc=128       	 1248511	       961.0 ns/op	        17.05 GFLOP/s	     16384 flops/call
BenchmarkKernel/8x8/neon/kc=128       	 1248768	       961.1 ns/op	        17.05 GFLOP/s	     16384 flops/call
BenchmarkKernel/8x8/neon/kc=128       	 1248669	       960.7 ns/op	        17.05 GFLOP/s	     16384 flops/call
BenchmarkKernel/8x8/neon/kc=128       	 1248519	       961.0 ns/op	        17.05 GFLOP/s	     16384 flops/call
BenchmarkKernel/8x8/neon/kc=128       	 1248288	       961.0 ns/op	        17.05 GFLOP/s	     16384 flops/call
BenchmarkKernel/8x8/neon/kc=512       	  315919	      3790 ns/op	        17.29 GFLOP/s	     65536 flops/call
BenchmarkKernel/8x8/neon/kc=512       	  316156	      3790 ns/op	        17.29 GFLOP/s	     65536 flops/call
BenchmarkKernel/8x8/neon/kc=512       	  315834	      3792 ns/op	        17.28 GFLOP/s	     65536 flops/call
BenchmarkKernel/8x8/neon/kc=512       	  317013	      3792 ns/op	        17.28 GFLOP/s	     65536 flops/call
BenchmarkKernel/8x8/neon/kc=512       	  315919	      3790 ns/op	        17.29 GFLOP/s	     65536 flops/call
BenchmarkKernel/8x8/neon/kc=512       	  315752	      3791 ns/op	        17.29 GFLOP/s	     65536 flops/call
BenchmarkKernel/8x8/neon/kc=512       	  316178	      3791 ns/op	        17.29 GFLOP/s	     65536 flops/call
BenchmarkKernel/8x8/neon/kc=512       	  316130	      3791 ns/op	        17.29 GFLOP/s	     65536 flops/call
BenchmarkKernel/8x8/neon/kc=512       	  316623	      3790 ns/op	        17.29 GFLOP/s	     65536 flops/call
BenchmarkKernel/8x8/neon/kc=512       	  315793	      3791 ns/op	        17.29 GFLOP/s	     65536 flops/call
BenchmarkKernel/8x8/neon/kc=512       	  316254	      3789 ns/op	        17.30 GFLOP/s	     65536 flops/call
BenchmarkKernel/8x8/neon/kc=512       	  315967	      3792 ns/op	        17.28 GFLOP/s	     65536 flops/call
BenchmarkKernel/8x8/neon/kc=512       	  315729	      3791 ns/op	        17.29 GFLOP/s	     65536 flops/call
BenchmarkKernel/8x8/neon/kc=512       	  316404	      3791 ns/op	        17.29 GFLOP/s	     65536 flops/call
BenchmarkKernel/8x8/neon/kc=512       	  316520	      3790 ns/op	        17.29 GFLOP/s	     65536 flops/call
BenchmarkKernel/8x8/neon/kc=512       	  315640	      3791 ns/op	        17.29 GFLOP/s	     65536 flops/call
BenchmarkKernel/8x8/neon/kc=512       	  315642	      3792 ns/op	        17.28 GFLOP/s	     65536 flops/call
BenchmarkKernel/8x8/neon/kc=512       	  315940	      3790 ns/op	        17.29 GFLOP/s	     65536 flops/call
BenchmarkKernel/8x8/neon/kc=512       	  315668	      3791 ns/op	        17.29 GFLOP/s	     65536 flops/call
BenchmarkKernel/8x8/neon/kc=512       	  316990	      3791 ns/op	        17.29 GFLOP/s	     65536 flops/call
BenchmarkKernel/4x16/neon/kc=8        	19753101	        60.70 ns/op	        16.87 GFLOP/s	      1024 flops/call
